==================================================================
THE OFFICIAL BABYLON 5 CHARACTER LIST
Copyright 1994-1996 Astralight Productions
Compiled by Troy A. Rutter (techy@iastate.edu)
Version 3.22
Last Update: 1/10/96
Covers All of the First Season and Pilot: "The Gathering" - "Chrysalis"
Covers All of Second Season: "Points of Departure" - "The Fall of Night"
Covers Third Season:  "Matters of Honor" - "Passing through Gethsemane"
Permission granted for transmission to electronic information and
        retrieval systems but not for publication in any compilation, be it
        written or electronic, or journal without written permission from
        the author.
Additions/Corrections should be sent to techy@iastate.edu
Compiled by Troy A.. Rutter (techy@iastate.edu)
------------------------------------------------------------------

---------------------------LIST by CHARACTER ---------------------

CHARACTER NAME                ACTOR NAME            EPISODES
Welles, Mr.                   Vickery, John         44
Wellington, Ombuds            Norton, Jim           15,21
William Hague, General        Foxworth, Robert      23,33
Winters, Talia                Thompson, Andrea      1,3,6,9,17-19,21-24,28-
                                                       30,36,38,41
Woman Patient, Young          Zimmer, Constance     21
Woman, Screaming              Shishino, Fumi        22
Woman, Young                  Hader, Catherine      23
Worker #1                     Vaughn, Floyd         12
Worker #2                     Martinez, Ricardo     12
Yang, Pvt.                    Chudabala, Art        32
Young Lianna                  Wake, Robin           11
Young Woman                   Hader, Catherine      23
Young Woman Patient           Zimmer, Constance     21
Zack Allan                    Conaway, Jeff         28,31,34-36,38,41,44,46,
                                                       48
Zathras                       Choate, Tim           20
Zayn, Colonel Ari Ben         Martin, Gregory       16
Zento, Orin                   Snyder, John          12


------------------------------------------------------------------

------------------------------List by Task------------------------

TASK                          CREW NAME             EPISODES
==================================================================
1st Assistant Camera          Monroe, Steven R.     0
1st Assistant Camera          Kowalski, Peter B.    1-22
1st Assistant Camera          Sweeterman, Wally     23-38,40-48
1st Assistant Camera          Thackery, Wendy       39
1st Assistant Director        Radulovic, John       0-1,4,7,9-11,14-17,21,24,
                                                       26,28-29,32,34,37,39-
                                                       40
1st Assistant Director        Beaudine, Skip        2-3,5-6,8,12-13,18-19,22-
                                                       23,25,31,33,35-36,38,
                                                       41,44
1st Assistant Director        Eilerson, Pamela      20,27,30,42-43,45,47-48
1st Assistant Director        Chong, Ronnie         46
2nd 2nd Assistant Director    Corring, Douglas      32-35,38-39
2nd 2nd Assistant Director    Michaelson, Brad      40-44
2nd 2nd Assistant Director    Dennett, James A., II 45-46
2nd 2nd Assistant Director    McWhirter, David      47-48
2nd Assistant Camera          Ball, James           0
2nd Assistant Director        Linsalata, Joseph N.  0
                                 (J.J.)
2nd Assistant Director        Schilz, Michael J.    1-4,7-8,10
2nd Assistant Director        Eilerson, Pamela      5-6,9,11-19,22-26,31-35,
                                                       38-39
2nd Assistant Director        Corring, Douglas      20-21,36-37,40-48
2nd Assistant Director        Kontra, Joe           27-30
3D Visual Effects System      NewTek, Inc.          0-22
   Furnished by
Accountant, Production        Rowland, Marge        0
Accountant, Production        Morse-Fischer, Sarah  1-44
Accountant, Production        Hoover, Mike          45-48
Accounting Services Provided  Oberman, Tivoli &     1-48
   by, Production                Miller, Ltd.
Animation, Digital Effects    Kutchaver, Kevin      3-28,38,40,42
Animation, Digital Effects    Hitch, Sherry         43
Animator                      Lebowitz, Adam "Mojo" 0
Animator                      Payne, Richard        0
Animator                      Swain, Richardmark    0
Animator, Composite 2D        Hitch, Sherry         45-48
Animator, Senior Computer     Lebowitz, Adam "Mojo" 44-48
Animator, Senior Computer     Teska, John           44-48
Apprentice Editor             Netter, Jason         23-35
Apprentice Editor             Burrus, John          45-48
Art Director                  Raymond, Deborah      0-22
Art Director                  Vernacchio, Dorian    0-4,7-8,10
Art Director                  Rosenkranz, Roland G. 23-48
Art Director, Assistant       Haigh, Ted            0
Art Director, Assistant       Muller, Chris         0
Artist, Conceptual            Ledger, Peter         0
Artist, Conceptual            Wilson, Susie         0
Artist, Graphic               Kobayashi, Alan       45-48
Artist, Key Make-up           Morse, Mary Kay       1-22
Artist, Key Make-up           Zanetti, Cinzia       23-48
Artist, Key Scenic            Gilmore, Ruth         0
Artist, Make-up Effects       Cush, Fionagh         45-48
Artist, Make-up Effects       Funk, Greg            45-48
Artist, Make-up Effects       Huff, Will            45-48
Artist, Matte                 Chauvin, Eric         13-14,18-19,21,23-48
Assistant Art Director        Haigh, Ted            0
Assistant Art Director        Muller, Chris         0
Assistant Camera, 1st         Monroe, Steven R.     0
Assistant Camera, 1st         Kowalski, Peter B.    1-22
Assistant Camera, 1st         Sweeterman, Wally     23-38,40-48
Assistant Camera, 1st         Thackery, Wendy       39
Assistant Camera, 2nd         Ball, James           0
Assistant Director, 1st       Radulovic, John       0-1,4,7,9-11,14-17,21,24,
                                                       26,28-29,32,34,37,39-
                                                       40
Assistant Director, 1st       Beaudine, Skip        2-3,5-6,8,12-13,18-19,22-
                                                       23,25,31,33,35-36,38,
                                                       41,44
Assistant Director, 1st       Eilerson, Pamela      20,27,30,42-43,45,47-48
Assistant Director, 1st       Chong, Ronnie         46
Assistant Director, 2nd       Linsalata, Joseph N.  0
                                 (J.J.)
Assistant Director, 2nd       Schilz, Michael J.    1-4,7-8,10
Assistant Director, 2nd       Eilerson, Pamela      5-6,9,11-19,22-26,31-35,
                                                       38-39
Assistant Director, 2nd       Corring, Douglas      20-21,36-37,40-48
Assistant Director, 2nd       Kontra, Joe           27-30
Assistant Director, 2nd 2nd   Corring, Douglas      32-35,38-39
Assistant Director, 2nd 2nd   Michaelson, Brad      40-44
Assistant Director, 2nd 2nd   Dennett, James A., II 45-46
Assistant Director, 2nd 2nd   McWhirter, David      47-48
Assistant Editor              Binford, Joe, Jr.     0
Assistant Editor              Burr, Kathie          1,4,7,9-11,14-17,21,23,
                                                       25,27,30-31,33,35,37
Assistant Editor              Bechtel, Marla K.     2-3,5-6,8,12-13,18-20,22
Assistant Editor              Elmer, Marc           24,26,28-29,32,34
Assistant Editor              Netter, Jason         36,38,42,44-48
Assistant Editor              Buckner, Adam         39-41,43
Assistant Editor, First       Burr, Kathie          36,38-48
Assistant Hair & Make-up      Ferry, Kim M.         45-48
Assistant, Executive          Esparza, Tracie       1-48
   Producers'
Assistant, Executive          Coyle, Kelly          23-44
   Producers'
Assistant, Executive          Higgins, Joanne       23-48
   Producers'
Assistant, Producers'         Kline, Kelsey         1-22
Assistant, Producers'         Kavounas, E.J.        23-48
Assistant, Producers'         Coyle, Kelly          38
Associate Producer            Johnsen, George       1-48
Associate, Casting            Brooksbank, Steve     6,9,11-14,16-22
Asst. Production Coordinator  Meisels, Karen        0
Asst. to Executive Producer   Ross, Scott           0
Author of this film/motion    PTN Consortium        0-48
   picture
Best Boy Electric             Neale, David H.       45-48
Best Boy Grip                 Carothers, Bruce      45-48
Boom Operator                 Gess, Cindy           0
Camera Operator               Collins, Stephen      0
Camera Operator               Gordin, Eyal          1-22
Camera Operator               Kowalski, Peter B.    23-48
Camera, 1st Assistant         Monroe, Steven R.     0
Camera, 1st Assistant         Kowalski, Peter B.    1-22
Camera, 1st Assistant         Sweeterman, Wally     23-38,40-48
Camera, 1st Assistant         Thackery, Wendy       39
Camera, 2nd Assistant         Ball, James           0
Cameras & Lenses              PANAVISION(R)         0-48
Casting Associate             Brooksbank, Steve     6,9,11-14,16-22
Casting by                    Slater, Mary Jo,      0-44
                                 C.S.A.
Casting by                    Brooksbank, Steve,    23-44
                                 C.S.A.
Casting by                    Champion, Fern,       45-48
                                 C.S.A.
Casting by                    Paladini, Mark,       45-48
                                 C.S.A.
Co-Executive Producer         Straczynski, J.       0
                                 Michael
Co-Producer                   Copeland, John        0
Co-Producer                   Compton, Richard      1-5,7-8,10,15
Color by                      Pacific Film          0-48
                                 Laboratories
Composite 2D Animator         Hitch, Sherry         45-48
Computer Animator, Senior     Lebowitz, Adam "Mojo" 44-48
Computer Animator, Senior     Teska, John           44-48
Computer Imaging Supervisor   Beigle-Bryant, Paul   0-48
Conceptual Artist             Ledger, Peter         0
Conceptual Artist             Wilson, Susie         0
Conceptual Consultant         Ellison, Harlan       1-48
Construction Coordinator      Laseter, Curtis       23-48
Consultant, Conceptual        Ellison, Harlan       1-48
Consultant, Special Effect    Gording, Jonathan,    23-48
   Contact Lens                  O.D.
Contact Lens Consultant,      Gording, Jonathan,    23-48
   Special Effect                O.D.
Contact Lenses by, Special    Bodytech              6,9,11-14,16-22
   Effect
Coordinator, Asst. Production Meisels, Karen        0
Coordinator, Construction     Laseter, Curtis       23-48
Coordinator, Post Production  Norkin, Susan         0-44
Coordinator, Production       Evans, Alyson         0
Coordinator, Production       O'Connor, Chris       1-48
Coordinator, Script           Langenfeld, Rebecca   1-22
Coordinator, Script           Henry, Carol          23-48
Coordinator, Special Effects  Stears, John          0,4
Coordinator, Stunt            Rossall, Kerry        0-6,8-48
Coordinator, Visual Effects   Casey, Shannon        0
Costume Designer              Adair, Catherine      0
Costume Designer              Bruice, Ann           1-43
Costume Designer              Bruice Aling, Ann     44-48
Costume Supervisor            Holly, Kim M.         1-48
Costumer, Key                 Huse, Linda           29-48
Costumer, On Set              Huse, Linda           23-28
Created by                    Straczynski, J.       1-48
                                 Michael
Created by, Series Make-up    Burrell, Everett      1-44
   Effects
Created by, Series Make-up    Optic Nerve Studios   1-48
   Effects
Created by, Series Make-up    Vulich, John          1-48
   Effects
DGA Trainee                   Durand, Clare         0
Decorator, Set                Fallace, Nancy S.     1-22
Decorator, Set                Saks, Daniel A.       23-44
Decorator, Set                Rubinstein, Alexandra 45-48
Design, Sound                 Cohen, Harry          0,13-14,16,18-20,23-27
Design, Sound                 Johnson, Jon,         1-12,15,17,21-22
                                 M.P.S.E.
Designed by, Visual Effects   Thornton, Ron         0-48
Designer, Costume             Adair, Catherine      0
Designer, Costume             Bruice, Ann           1-43
Designer, Costume             Bruice Aling, Ann     44-48
Designer, Production          Iacovelli, John       0-48
Designer, Set                 DeRouin, Colin        0
Designer, Sound               Menichini, Paul       33-48
Dialogue/ADR Editor           Speakman, Cathie      0
Digital Effects Animation     Kutchaver, Kevin      3-28,38,40,42
Digital Effects Animation     Hitch, Sherry         43
Digital Optical, Pin          Action Video,         0-2
   Registered Transfers &        Hollywood
Digital Sound & Re-Recording  EFX Systems           0-48
   by
Directed by                   Compton, Richard      0-1,4,7,10,15
Directed by                   Johnston, Jim         2,5,11-12,16,20,24,26,30,
                                                       32,34
Directed by                   Green, Bruce Seth     3,6,9,17
Directed by                   Greek, Janet          8,13,18-19,22-23,31,44
Directed by                   Flinn, John C., III,  14,29,42
                                 A.S.C.
Directed by                   Ferrara, Lorraine     21
                                 Senna
Directed by                   Vejar, Michael        25,36,43,46
                                 Laurence
Directed by                   Di Leo, Mario         27,33,37
Directed by                   Cremin, Kevin G.      28,40,45
Directed by                   Binetski, Menachem    35
Directed by                   Eagle, David J.       38,47
Directed by                   Posey, Stephen L.     39
Directed by                   Trevino, Jesus        41
Directed by                   Nimoy, Adam           48
Director of Photography       Dickson, Billy        0
Director of Photography       Flinn, John C., III,  1-29,31-39,41,43-48
                                 A.S.C.
Director of Photography       Murphy, Fred V., II   30,40,42
Director of Sound Services    Rodriguez, Paul       0
Director, 1st Assistant       Radulovic, John       0-1,4,7,9-11,14-17,21,24,
                                                       26,28-29,32,34,37,39-
                                                       40
Director, 1st Assistant       Beaudine, Skip        2-3,5-6,8,12-13,18-19,22-
                                                       23,25,31,33,35-36,38,
                                                       41,44
Director, 1st Assistant       Eilerson, Pamela      20,27,30,42-43,45,47-48
Director, 1st Assistant       Chong, Ronnie         46
Director, 2nd 2nd Assistant   Corring, Douglas      32-35,38-39
Director, 2nd 2nd Assistant   Michaelson, Brad      40-44
Director, 2nd 2nd Assistant   Dennett, James A., II 45-46
Director, 2nd 2nd Assistant   McWhirter, David      47-48
Director, 2nd Assistant       Linsalata, Joseph N.  0
                                 (J.J.)
Director, 2nd Assistant       Schilz, Michael J.    1-4,7-8,10
Director, 2nd Assistant       Eilerson, Pamela      5-6,9,11-19,22-26,31-35,
                                                       38-39
Director, 2nd Assistant       Corring, Douglas      20-21,36-37,40-48
Director, 2nd Assistant       Kontra, Joe           27-30
Director, Art                 Raymond, Deborah      0-22
Director, Art                 Vernacchio, Dorian    0-4,7-8,10
Director, Art                 Rosenkranz, Roland G. 23-48
Director, Assistant Art       Haigh, Ted            0
Director, Assistant Art       Muller, Chris         0
Dresser, Set                  Mora, Michael         0
Edited by                     Sinise, Robert L.,    0
                                 A.C.E.
Editor                        Citron, Lisa M.       1,8,15,17,19-20,22
Editor                        Robinson, Skip        2,5,10-12,18,21,25,28,31,
                                                       34,36,40,43,46,48
Editor                        Sternlicht, Suzanne   3-4,6-7,9,13-14,16,23,26,
                                                       30,32,35,39,42,44-45
Editor                        Foster, David W.      24,27,29,33,37-38,41,47
Editor, Apprentice            Netter, Jason         23-35
Editor, Apprentice            Burrus, John          45-48
Editor, Assistant             Binford, Joe, Jr.     0
Editor, Assistant             Burr, Kathie          1,4,7,9-11,14-17,21,23,
                                                       25,27,30-31,33,35,37
Editor, Assistant             Bechtel, Marla K.     2-3,5-6,8,12-13,18-20,22
Editor, Assistant             Elmer, Marc           24,26,28-29,32,34
Editor, Assistant             Netter, Jason         36,38,42,44-48
Editor, Assistant             Buckner, Adam         39-41,43
Editor, Dialogue/ADR          Speakman, Cathie      0
Editor, Executive Story       Ditillio, Lawrence G. 23-44
Editor, First Assistant       Burr, Kathie          36,38-48
Editor, Sound                 Menichini, Paul       23-27
Editor, Sound Effects         Menichini, Paul       28-32
Editor, Sound Effects         Woolway, Harry        33-44
Editor, Sound Effects         Moser, Michael        45-48
Editor, Story                 Ditillio, Lawrence G. 1-22
Editor, Supervising Sound     Johnsen, George       0
Editor, Supervising Sound     Hoien, Erin           28-44
Effects Animation, Digital    Kutchaver, Kevin      3-28,38,40,42
Effects Animation, Digital    Hitch, Sherry         43
Effects Artist, Make-up       Cush, Fionagh         45-48
Effects Artist, Make-up       Funk, Greg            45-48
Effects Artist, Make-up       Huff, Will            45-48
Effects Coordinator, Special  Stears, John          0,4
Effects Coordinator, Visual   Casey, Shannon        0
Effects Created by, Series    Burrell, Everett      1-44
   Make-up
Effects Created by, Series    Optic Nerve Studios   1-48
   Make-up
Effects Created by, Series    Vulich, John          1-48
   Make-up
Effects Designed by, Visual   Thornton, Ron         0-48
Effects Editor, Sound         Menichini, Paul       28-32
Effects Editor, Sound         Woolway, Harry        33-44
Effects Editor, Sound         Moser, Michael        45-48
Effects Makeup Supervisor,    Criswell, John        0
   Special
Effects Produced by, Visual   Foundation Imaging    0-48
Effects Producer, Visual      Casey, Shannon        1-48
Effects Sculptor, Make-up     Wheaton, John         45-48
Effects Supervisor, Make-up   Garbarino, Mark       45-48
Effects Supervisor, On Set    Rae, Ted              45-48
   Visual
Effects Supervisor, Special   Sokol, Paul           45-48
Effects Supervisor, Visual    Suskin, Mitch         1-42
Effects System Furnished by,  NewTek, Inc.          0-22
   3D Visual
Effects by, Special           Ultimate Effects      1-3,5-48
Electric, Best Boy            Neale, David H.       45-48
Electronic Laboratory(tm)     Laser-Pacific Media   0-48
                                 Corporation
Engineer, System              Pugh, Steve           45-48
Executive Producer            Netter, Douglas       0-48
Executive Producer            Straczynski, J.       1-48
                                 Michael
Executive Producer, Asst. to  Ross, Scott           0
Executive Producers'          Esparza, Tracie       1-48
   Assistant
Executive Producers'          Coyle, Kelly          23-44
   Assistant
Executive Producers'          Higgins, Joanne       23-48
   Assistant
Executive Story Editor        Ditillio, Lawrence G. 23-44
First Assistant Editor        Burr, Kathie          36,38-48
Foreman, Shop                 Aronowitz, Greg       0
Furnished by, 3D Visual       NewTek, Inc.          0-22
   Effects System
Furnished by, Lightwave 3D(R) NewTek, Inc.          23-48
Gaffer                        Farr, John K.         0
Gaffer                        Adams, Marshall       1-29,31-44
Gaffer                        Neale, David H.       30
Gaffer                        Smith, "The" John     45-48
Graphic Artist                Kobayashi, Alan       45-48
Grip, Best Boy                Carothers, Bruce      45-48
Grip, Key                     HeyNeker, Jan M.      0
Grip, Key                     Stribling, Rick       1-30
Grip, Key                     Warner, John "J.W."   31-48
Hair & Make-up, Assistant     Ferry, Kim M.         45-48
Hairstylist, Key              Michaels, Myke        0-8,10-11,15
Hairstylist, Key              Smithe, Traci         9,12-14,16-48
Imaging Supervisor, Computer  Beigle-Bryant, Paul   0-48
Key Costumer                  Huse, Linda           29-48
Key Grip                      HeyNeker, Jan M.      0
Key Grip                      Stribling, Rick       1-30
Key Grip                      Warner, John "J.W."   31-48
Key Hairstylist               Michaels, Myke        0-8,10-11,15
Key Hairstylist               Smithe, Traci         9,12-14,16-48
Key Make-up Artist            Morse, Mary Kay       1-22
Key Make-up Artist            Zanetti, Cinzia       23-48
Key Makeup                    Sanders, Suzanne      0
Key Scenic Artist             Gilmore, Ruth         0
Key Set, Wardrobe             Roberts, Susan        0
Laboratory(tm), Electronic    Laser-Pacific Media   0-48
                                 Corporation
Leadman                       Howard, Jason         1-22
Lens Consultant, Special      Gording, Jonathan,    23-48
   Effect Contact                O.D.
Lenses by, Special Effect     Bodytech              6,9,11-14,16-22
   Contact
Lenses, Cameras &             PANAVISION(R)         0-48
Lightwave 3D(R) Furnished by  NewTek, Inc.          23-48
Make-up Artist, Key           Morse, Mary Kay       1-22
Make-up Artist, Key           Zanetti, Cinzia       23-48
Make-up Effects Artist        Cush, Fionagh         45-48
Make-up Effects Artist        Funk, Greg            45-48
Make-up Effects Artist        Huff, Will            45-48
Make-up Effects Created by,   Burrell, Everett      1-44
   Series
Make-up Effects Created by,   Optic Nerve Studios   1-48
   Series
Make-up Effects Created by,   Vulich, John          1-48
   Series
Make-up Effects Sculptor      Wheaton, John         45-48
Make-up Effects Supervisor    Garbarino, Mark       45-48
Make-up, Assistant Hair &     Ferry, Kim M.         45-48
Makeup Sculpture &            Wild, Ron             0
   Application
Makeup Supervisor             Sherwood, Rob         0
Makeup Supervisor, Special    Criswell, John        0
   Effects
Makeup, Key                   Sanders, Suzanne      0
Manager, Unit Production      Brown, Robert Latham  0
Manager, Unit Production      Cremin, Kevin G.      1-26,29,31-39,41,43-44
Manager, Unit Production      Beaudine, Skip        27-28,30,40,42,45-48
Master, Property              Pepin, Guy            0
Master, Property              Cole, Barbara         1-22
Master, Property              Walters, Mark-Louis   23-48
Matte Artist                  Chauvin, Eric         13-14,18-19,21,23-48
Mixer, Re-Recording           Freesh, Bill          0-1
Mixer, Re-Recording           Johnsen, George       0
Mixer, Re-Recording           Teaney, Ken           0
Mixer, Re-recording           O'Bright, Terry       1-44
Mixer, Re-recording           Orr, Todd             2-22
Mixer, Re-recording           Carlstedt, Peter      28-43
Mixer, Re-recording           Rogers, Keith         44-48
Mixer, Re-recording           O'Bright, Terry,      45-48
                                 C.A.S.
Mixer, Sound                  Tanenbaum, Jim        0
Mixer, Sound                  Mitchell, Patrick     1-22
Mixer, Sound                  Coffey, Linda         23-35,38-48
Mixer, Sound                  Spritz, Neal          36-37
Music Performed by            Berlin Symphonic Film 1-48
                                 Orchestra, The
Music Performed by            Franke, Christopher   1-48
Music by                      Copeland, Stewart     0
Music by                      Franke, Christopher   1-48
On Set Costumer               Huse, Linda           23-28
On Set Visual Effects         Rae, Ted              45-48
   Supervisor
Operator, Boom                Gess, Cindy           0
Operator, Camera              Collins, Stephen      0
Operator, Camera              Gordin, Eyal          1-22
Operator, Camera              Kowalski, Peter B.    23-48
Optical, Pin Registered       Action Video,         0-2
   Transfers & Digital           Hollywood
Performed by, Music           Berlin Symphonic Film 1-48
                                 Orchestra, The
Performed by, Music           Franke, Christopher   1-48
Photography, Director of      Dickson, Billy        0
Photography, Director of      Flinn, John C., III,  1-29,31-39,41,43-48
                                 A.S.C.
Photography, Director of      Murphy, Fred V., II   30,40,42
Pin Registered Transfers &    Action Video,         0-2
   Digital Optical               Hollywood
Post Production Coordinator   Norkin, Susan         0-44
Post Production Supervisor    Norkin, Susan         45-48
Produced by                   Copeland, John        1-48
Produced by, Visual Effects   Foundation Imaging    0-48
Producer                      Brown, Robert Latham  0
Producer, Associate           Johnsen, George       1-48
Producer, Asst. to Executive  Ross, Scott           0
Producer, Co-Executive        Straczynski, J.       0
                                 Michael
Producer, Executive           Netter, Douglas       0-48
Producer, Executive           Straczynski, J.       1-48
                                 Michael
Producer, Visual Effects      Casey, Shannon        1-48
Producers' Assistant          Kline, Kelsey         1-22
Producers' Assistant          Kavounas, E.J.        23-48
Producers' Assistant          Coyle, Kelly          38
Producers' Assistant,         Esparza, Tracie       1-48
   Executive
Producers' Assistant,         Coyle, Kelly          23-44
   Executive
Producers' Assistant,         Higgins, Joanne       23-48
   Executive
Production Accountant         Rowland, Marge        0
Production Accountant         Morse-Fischer, Sarah  1-44
Production Accountant         Hoover, Mike          45-48
Production Accounting         Oberman, Tivoli &     1-48
   Services Provided by          Miller, Ltd.
Production Coordinator        Evans, Alyson         0
Production Coordinator        O'Connor, Chris       1-48
Production Coordinator, Asst. Meisels, Karen        0
Production Coordinator, Post  Norkin, Susan         0-44
Production Designer           Iacovelli, John       0-48
Production Manager, Unit      Brown, Robert Latham  0
Production Manager, Unit      Cremin, Kevin G.      1-26,29,31-39,41,43-44
Production Manager, Unit      Beaudine, Skip        27-28,30,40,42,45-48
Production Supervisor, Post   Norkin, Susan         45-48
Property Master               Pepin, Guy            0
Property Master               Cole, Barbara         1-22
Property Master               Walters, Mark-Louis   23-48
Re-Recording Mixer            Freesh, Bill          0-1
Re-Recording Mixer            Johnsen, George       0
Re-Recording Mixer            Teaney, Ken           0
Re-Recording Mixer            O'Bright, Terry       1-44
Re-Recording Mixer            Orr, Todd             2-22
Re-Recording Mixer            Carlstedt, Peter      28-43
Re-Recording Mixer            Rogers, Keith         44-48
Re-Recording Mixer            O'Bright, Terry,      45-48
                                 C.A.S.
Re-Recording by, Digital      EFX Systems           0-48
   Sound &
Registered Transfers &        Action Video,         0-2
   Digital Optical, Pin          Hollywood
Scenic Artist, Key            Gilmore, Ruth         0
Script Coordinator            Langenfeld, Rebecca   1-22
Script Coordinator            Henry, Carol          23-48
Script Supervisor             McLane, Haley         0-48
Sculptor, Make-up Effects     Wheaton, John         45-48
Sculpture & Application,      Wild, Ron             0
   Makeup
Senior Computer Animator      Lebowitz, Adam "Mojo" 44-48
Senior Computer Animator      Teska, John           44-48
Series Make-up Effects        Burrell, Everett      1-44
   Created by
Series Make-up Effects        Optic Nerve Studios   1-48
   Created by
Series Make-up Effects        Vulich, John          1-48
   Created by
Set Decorator                 Fallace, Nancy S.     1-22
Set Decorator                 Saks, Daniel A.       23-44
Set Decorator                 Rubinstein, Alexandra 45-48
Set Designer                  DeRouin, Colin        0
Set Dresser                   Mora, Michael         0
Shop Foreman                  Aronowitz, Greg       0
Sound & Re-Recording by,      EFX Systems           0-48
   Digital
Sound Design                  Cohen, Harry          0,13-14,16,18-20,23-27
Sound Design                  Johnson, Jon,         1-12,15,17,21-22
                                 M.P.S.E.
Sound Designer                Menichini, Paul       33-48
Sound Editor                  Menichini, Paul       23-27
Sound Editor, Supervising     Johnsen, George       0
Sound Editor, Supervising     Hoien, Erin           28-44
Sound Effects Editor          Menichini, Paul       28-32
Sound Effects Editor          Woolway, Harry        33-44
Sound Effects Editor          Moser, Michael        45-48
Sound Mixer                   Tanenbaum, Jim        0
Sound Mixer                   Mitchell, Patrick     1-22
Sound Mixer                   Coffey, Linda         23-35,38-48
Sound Mixer                   Spritz, Neal          36-37
Sound Services, Director of   Rodriguez, Paul       0
Sound Supervisor              Hoien, Erin           1-27
Sound Supervisor              Parigi, Robert        45-48
Special Effect Contact Lens   Gording, Jonathan,    23-48
   Consultant                    O.D.
Special Effect Contact        Bodytech              6,9,11-14,16-22
   Lenses by
Special Effects Coordinator   Stears, John          0,4
Special Effects Makeup        Criswell, John        0
   Supervisor
Special Effects Supervisor    Sokol, Paul           45-48
Special Effects by            Ultimate Effects      1-3,5-48
Story Editor                  Ditillio, Lawrence G. 1-22
Story Editor, Executive       Ditillio, Lawrence G. 23-44
Stunt Coordinator             Rossall, Kerry        0-6,8-48
Stunts                        Sparks, Frank J.      0
Supervising Sound Editor      Johnsen, George       0
Supervising Sound Editor      Hoien, Erin           28-44
Supervisor, Computer Imaging  Beigle-Bryant, Paul   0-48
Supervisor, Costume           Holly, Kim M.         1-48
Supervisor, Make-up Effects   Garbarino, Mark       45-48
Supervisor, Makeup            Sherwood, Rob         0
Supervisor, On Set Visual     Rae, Ted              45-48
   Effects
Supervisor, Post Production   Norkin, Susan         45-48
Supervisor, Script            McLane, Haley         0-48
Supervisor, Sound             Hoien, Erin           1-27
Supervisor, Sound             Parigi, Robert        45-48
Supervisor, Special Effects   Sokol, Paul           45-48
Supervisor, Special Effects   Criswell, John        0
   Makeup
Supervisor, Visual Effects    Suskin, Mitch         1-42
Supervisor, Wardrobe          Trugman, Alan         0
System Engineer               Pugh, Steve           45-48
Trainee, DGA                  Durand, Clare         0
Transfers & Digital Optical,  Action Video,         0-2
   Pin Registered                Hollywood
Unit Production Manager       Brown, Robert Latham  0
Unit Production Manager       Cremin, Kevin G.      1-26,29,31-39,41,43-44
Unit Production Manager       Beaudine, Skip        27-28,30,40,42,45-48
Visual Effects Coordinator    Casey, Shannon        0
Visual Effects Designed by    Thornton, Ron         0-48
Visual Effects Produced by    Foundation Imaging    0-48
Visual Effects Producer       Casey, Shannon        1-48
Visual Effects Supervisor     Suskin, Mitch         1-42
Visual Effects Supervisor,    Rae, Ted              45-48
   On Set
Visual Effects System         NewTek, Inc.          0-22
   Furnished by, 3D
Wardrobe Key Set              Roberts, Susan        0
Wardrobe Supervisor           Trugman, Alan         0
Written by                    Straczynski, J.       0-2,4-6,8,13,18-25,30-31,
                                 Michael               33-35,37-38,40-48
Written by                    Ditillio, Lawrence G. 3,9,14,16,28,32,39
Written by                    Fontana, D.C.         7,17,26
Written by                    Gerrold, David        10
Written by                    Zicree, Marc Scott    11
Written by                    Drennan, Kathryn M.   12
Written by                    Marx, Christy         15
Written by                    Frost, Scott          27
Written by                    David, Peter          29,36

EPISODE GUIDE IN AIRING ORDER:
0       The Gathering
1       Midnight on the Firing Line
2       Soul Hunter
3       Born to the Purple
4       Infection
5       Parliament of Dreams
6       Mind War
7       The War Prayer
8       And the Sky Full of Stars
9       Deathwalker
10      Believers
11      Survivors
12      By Any Means Necessary
13      Signs and Portents
14      TKO
15      Grail
16      Eyes
17      Legacies
18      A Voice in the Wilderness I
19      A Voice in the Wilderness II
20      Babylon Squared
21      The Quality of Mercy
22      Chrysalis
23      Points of Departure
24      Revelations
25      The Geometry of Shadows
26      A Distant Star
27      The Long Dark
28      A Spider in the Web
29      Soul Mates
30      A Race Through Dark Places
31      The Coming of Shadows
32      Gropos
33      All Alone in the Night
34      Acts of Sacrifice
35      Hunter, Prey
36      There all the Honor Lies
37      And Now for a Word
38      In the Shadow of Z'Ha'Dum
39      Knives
40      Confessions and Lamentations
41      Divided Loyalties                           
42      The Long, Twilight Struggle                 
43      Comes the Inquisitor                        
44      The Fall of Night                           
45      Matters of Honor                            
46      Convictions                                 
47      A Day in the Strife                         
48      Passing through Gethsemane                  

