===================================================================
THE OFFICIAL BABYLON 5 CAST LIST
Copyright 1994-1996 Astralight Productions
Compiled by Troy A. Rutter (techy@iastate.edu)
Version 3.22
Last Update: 1/10/96
Covers All of the First Season and Pilot: "The Gathering" - "Chrysalis"
Covers All of Second Season: "Points of Departure" - "The Fall of Night"
Covers Third Season:  "Matters of Honor" - "Passing through Gethsemane"
Permission granted for transmission to electronic information and
        retrieval systems but not for publication in any compilation, be it
        written or electronic, or journal without written permission from
        the author.
Additions/Corrections should be sent to techy@iastate.edu
------------------------------------------------------------------

-----------------------------List by Actor------------------------

ACTOR NAME               CHARACTER NAME              EPISODES
Warner, John "J.W."      Key Grip                    31-48
Wheaton, John            Make-up Effects Sculptor    45-48
Wild, Ron                Makeup Sculpture &          0
                            Application
Wilson, Susie            Conceptual Artist           0
Woolway, Harry           Sound Effects Editor        33-44
Zanetti, Cinzia          Key Make-up Artist          23-48
Zicree, Marc Scott       Written by                  11

EPISODE GUIDE IN AIRING ORDER:
0       The Gathering
1       Midnight on the Firing Line
2       Soul Hunter
3       Born to the Purple
4       Infection
5       Parliament of Dreams
6       Mind War
7       The War Prayer
8       And the Sky Full of Stars
9       Deathwalker
10      Believers
11      Survivors
12      By Any Means Necessary
13      Signs and Portents
14      TKO
15      Grail
16      Eyes
17      Legacies
18      A Voice in the Wilderness I
19      A Voice in the Wilderness II
20      Babylon Squared
21      The Quality of Mercy
22      Chrysalis
23      Points of Departure
24      Revelations
25      The Geometry of Shadows
26      A Distant Star
27      The Long Dark
28      A Spider in the Web
29      Soul Mates
30      A Race Through Dark Places
31      The Coming of Shadows
32      Gropos
33      All Alone in the Night
34      Acts of Sacrifice
35      Hunter, Prey
36      There all the Honor Lies
37      And Now for a Word
38      In the Shadow of Z'Ha'Dum
39      Knives
40      Confessions and Lamentations
41      Divided Loyalties                           
42      The Long, Twilight Struggle                 
43      Comes the Inquisitor                        
44      The Fall of Night                           
45      Matters of Honor                            
46      Convictions                                 
47      A Day in the Strife                         
48      Passing through Gethsemane                  

